Name
Depression
Low self-esteem
Ethnicity and racial identity related issues and/or trauma
LGBTQ+ related concerns
Academic stress
Occupation-related stress
Major life transitions
Social fears
Interpersonal problems
Relationship difficulties
Sexual concerns
Anxiety
Panic attacks
Worry
Culturally-responsive treatments
Work-related stress
Trauma-related stress
Autism
Sleep problems
Obsessive Compulsive Disorder (OCD)
Attention Deficit Hyperactivity Disorder (ADD/ADHD)
Anger management
Grief/bereavement
Mood disorder
Personality disorders
Post-Traumatic Stress Disorder (PTSD)
Race-based trauma
Substance use disorder
Trauma therapy
Sleep problems
Impulse-control difficulties
Eating disorders
Compulsive achievement
Familial abuse (physical & emotional)
Family-Self dynamics
